technology,github_repo_query,github_activity_query,github_repository_count,github_issue_count_180d,github_pr_count_180d,github_activity_count_180d,github_repo_score,github_activity_score,repo_incomplete_results,issue_incomplete_results,pr_incomplete_results,sample_repositories,sample_issues_or_prs,from_date_utc,to_date_utc,metric_basis,metric_note
Datadog,"Datadog in:name,description,readme",Datadog,55612,16032,128425,144457,0.0937,0.3326,False,False,False,DataDog/datadog-agent; masci/datadog; DataDog/helm-charts; open-telemetry/opentelemetry-demo; iand675/datadog,https://github.com/tangpingqingwa/hartevo-desktop/issues/337; https://github.com/oss-serverless/osls/issues/435; https://github.com/METR/hawk/issues/1158,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
GraphQL,"graphql in:name,description,readme",graphql,733889,85779,378020,463799,1.2752,1.0756,False,False,False,redwoodjs/graphql; graphql-go/graphql; nestjs/graphql; shurcooL/graphql; machinebox/graphql,https://github.com/MakeACS/make-backend/issues/15; https://github.com/graphile/crystal/issues/3140; https://github.com/egriff38/effect-graphql/issues/38,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Scala,"Scala in:name,description,readme",Scala,273006,23665,164166,187831,0.4724,0.4335,False,False,False,scala/scala; TheAlgorithms/Scala; mbonaci/scala; exercism/scala; mybatis/scala,https://github.com/softwaremill/sttp-ai/issues/586; https://github.com/htayj/guix-channel/issues/105; https://github.com/evolution-gaming/play-json-tools/issues/56,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
JAX,"JAX in:name,description,readme",JAX,86784,16328,51607,67935,0.148,0.1546,False,False,False,jax-ml/jax; keras-team/keras; fchollet/deep-learning-with-python-notebooks; google/flax; deepchem/deepchem,https://github.com/google-deepmind/torax/issues/2331; https://github.com/hiddenSymmetries/simsopt/issues/647; https://github.com/matthiasdiener/usv/issues/3,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
dbt,"dbt in:name,description,readme",dbt,143152,17083,56684,73767,0.2462,0.1682,False,False,False,dbt-labs/dbt-core; duneanalytics/spellbook; dbt-labs/jaffle-shop-classic; nordquant/complete-dbt-bootcamp-zero-to-hero; dbt-labs/dbt-utils,https://github.com/vamsi528/RetailPulse-Jira-Backlog/issues/78; https://github.com/vamsi528/RetailPulse-Jira-Backlog/issues/57; https://github.com/vamsi528/RetailPulse-Jira-Backlog/issues/55,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
BigQuery,"BigQuery in:name,description,readme",BigQuery,115630,12891,78095,90986,0.1983,0.2082,False,False,False,abronte/BigQuery; HTTPArchive/bigquery; GoogleCloudPlatform/professional-services; GoogleCloudPlatform/DataflowTemplates; webrtc/apprtc,https://github.com/abazzifahtp/besseazzifah/issues/1; https://github.com/appspace/kwwhat/issues/152; https://github.com/gauthierpiarrette/datadiffer/issues/2,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
CUDA,"CUDA in:name,description,readme",CUDA,711366,101317,232928,334245,1.236,0.7742,False,False,False,MKLab-ITI/CUDA; romain-jacotin/cuda; tmcdonell/cuda; csc-training/CUDA; NVIDIA-Korea/CUDA,https://github.com/LiuYuHui/LiuYuHui/issues/5; https://github.com/iteathen/CUDA-MCGS/issues/49; https://github.com/sgl-project/sglang/issues/34552,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
Kotlin,"Kotlin in:name,description,readme",Kotlin,946131,75202,468693,543895,1.6449,1.2619,False,False,False,JetBrains/kotlin; TheAlgorithms/Kotlin; exercism/kotlin; danger/kotlin; aqi00/kotlin,https://github.com/Bernardusz/engineering-roadmap/issues/27; https://github.com/Bernardusz/engineering-roadmap/issues/28; https://github.com/henrychuangtw/Android-ChatHead/issues/21,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
REST,"REST in:name,description,readme",REST,6598266,729572,4214228,4943800,11.4905,11.4986,False,False,False,diegohaz/rest; cujojs/rest; jakartaee/rest; Respect/Rest; silkapp/rest,https://github.com/Theelanes333/Nyumba/issues/1; https://github.com/littlemanedgar0-alt/upgraded-invention/issues/1; https://github.com/prebid/salesagent/issues/1926,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
GitHub Copilot,"""GitHub Copilot"" in:name,description,readme","""GitHub Copilot""",405909,206260,3095349,3301609,0.7039,7.6779,False,False,False,github/copilot-docs; microsoft/Mastering-GitHub-Copilot-for-Paired-Programming; github/CopilotForXcode; github/copilot-cli; github/copilot.vim,https://github.com/lukaszrosiak/my-agentic-workflows/issues/1; https://github.com/rod2k24/MCSAMXDataAITeam/issues/51; https://github.com/microsoft/vscode-docs/issues/10137,2026-02-15,2026-08-14,GitHub Search API repo total_count + issue/PR updated in recent 180d,
